ubigeo,dpto,prov,dist,lat,lon,n,share
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS",-6.2294,-77.8714,55,188.54342
10201,"AMAZONAS","BAGUA","BAGUA",-5.6389,-78.5319,99,379.44119
10205,"AMAZONAS","BAGUA","IMAZA",-5.16,-78.2903,12,49.336019
10307,"AMAZONAS","BONGARA","JAZAN",-5.9419,-77.9806,11,117.65964
10701,"AMAZONAS","UTCUBAMBA","BAGUA GRANDE",-5.7558,-78.4428,120,222.0865
10702,"AMAZONAS","UTCUBAMBA","CAJARURO",-5.7364,-78.4267,17,59.667965
20101,"ANCASH","HUARAZ","HUARAZ",-9.5272,-77.5333,233,354.84215
20105,"ANCASH","HUARAZ","INDEPENDENCIA",-9.5189,-77.5344,85,112.49487
20601,"ANCASH","CARHUAZ","CARHUAZ",-9.2806,-77.6469,15,95.468432
20801,"ANCASH","CASMA","CASMA",-9.475,-78.3036,46,136.70946
20804,"ANCASH","CASMA","YAUTAN",-9.5097,-77.9956,12,140.66346
21001,"ANCASH","HUARI","HUARI",-9.3478,-77.1725,17,163.10083
21014,"ANCASH","HUARI","SAN MARCOS",-9.525,-77.1575,27,178.87902
21101,"ANCASH","HUARMEY","HUARMEY",-10.0697,-78.1517,28,112.64886
21201,"ANCASH","HUAYLAS","CARAZ",-9.0472,-77.8108,13,48.616305
21601,"ANCASH","POMABAMBA","POMABAMBA",-8.8147,-77.4592,14,84.180146
21603,"ANCASH","POMABAMBA","PAROBAMBA",-8.6886,-77.4294,34,484.60661
21801,"ANCASH","SANTA","CHIMBOTE",-9.0758,-78.5842,978,452.70023
21803,"ANCASH","SANTA","COISHCO",-9.0239,-78.6181,186,1158.3733
21806,"ANCASH","SANTA","NEPENA",-9.1731,-78.3597,37,231.98947
21808,"ANCASH","SANTA","SANTA",-9.1156,-78.5314,155,736.657
21809,"ANCASH","SANTA","NUEVO CHIMBOTE",-9.2606,-78.4994,439,279.24255
22001,"ANCASH","YUNGAY","YUNGAY",-9.1375,-77.7475,12,53.756216
30101,"APURIMAC","ABANCAY","ABANCAY",-13.6367,-72.8792,61,107.26029
30201,"APURIMAC","ANDAHUAYLAS","ANDAHUAYLAS",-13.6561,-73.3847,62,132.59196
30216,"APURIMAC","ANDAHUAYLAS","TALAVERA",-13.6536,-73.4278,12,64.942093
40101,"AREQUIPA","AREQUIPA","AREQUIPA",-16.4008,-71.5378,272,518.83643
40102,"AREQUIPA","AREQUIPA","ALTO SELVA ALEGRE",-16.3706,-71.5272,94,110.29886
40103,"AREQUIPA","AREQUIPA","CAYMA",-16.3881,-71.5492,142,146.57611
40104,"AREQUIPA","AREQUIPA","CERRO COLORADO",-16.375,-71.5611,332,209.02063
40105,"AREQUIPA","AREQUIPA","CHARACATO",-16.4706,-71.4897,14,138.60014
40107,"AREQUIPA","AREQUIPA","JACOBO HUNTER",-16.4467,-71.5556,84,171.48107
40108,"AREQUIPA","AREQUIPA","LA JOYA",-16.4239,-71.8206,14,43.684473
40109,"AREQUIPA","AREQUIPA","MARIANO MELGAR",-16.4058,-71.5117,92,173.97553
40110,"AREQUIPA","AREQUIPA","MIRAFLORES",-16.395,-71.5211,97,201.06961
40112,"AREQUIPA","AREQUIPA","PAUCARPATA",-16.4233,-71.5083,156,123.75747
40117,"AREQUIPA","AREQUIPA","SACHACA",-16.4286,-71.5678,42,209.38232
40122,"AREQUIPA","AREQUIPA","SOCABAYA",-16.4522,-71.5308,112,133.65315
40123,"AREQUIPA","AREQUIPA","TIABAYA",-16.4489,-71.5908,21,141.77694
40124,"AREQUIPA","AREQUIPA","UCHUMAYO",-16.425,-71.6722,15,115.83012
40126,"AREQUIPA","AREQUIPA","YANAHUARA",-16.395,-71.5539,36,137.23173
40128,"AREQUIPA","AREQUIPA","YURA",-16.245,-71.6931,37,129.56997
40129,"AREQUIPA","AREQUIPA","JOSE LUIS BUSTAMANTE Y RIVERO",-16.4344,-71.5175,168,218.45134
40303,"AREQUIPA","CARAVELI","ATICO",-16.2089,-73.6258,33,799.4186
40520,"AREQUIPA","CAYLLOMA","MAJES",-16.3586,-72.1908,32,46.144085
40702,"AREQUIPA","ISLAY","COCACHACRA",-17.0942,-71.7711,12,134.81631
50101,"AYACUCHO","HUAMANGA","AYACUCHO",-13.1542,-74.2228,190,196.54291
50104,"AYACUCHO","HUAMANGA","CARMEN ALTO",-13.1722,-74.2242,21,93.762557
50110,"AYACUCHO","HUAMANGA","SAN JUAN BAUTISTA",-13.1658,-74.2222,69,130.34854
50115,"AYACUCHO","HUAMANGA","JESUS NAZARENO",-13.1531,-74.2114,11,58.463991
50116,"AYACUCHO","HUAMANGA","ANDRES AVELINO CACERES",-13.1617,-74.2106,28,125.24602
50401,"AYACUCHO","HUANTA","HUANTA",-12.9386,-74.2486,26,61.12182
50601,"AYACUCHO","LUCANAS","PUQUIO",-14.6914,-74.1283,14,98.82818
50701,"AYACUCHO","PARINACOCHAS","CORACORA",-15.0161,-73.7819,20,127.55916
60101,"CAJAMARCA","CAJAMARCA","CAJAMARCA",-7.1564,-78.5153,172,68.499425
60108,"CAJAMARCA","CAJAMARCA","LOS BANOS DEL INCA",-7.1617,-78.4633,21,48.385982
60401,"CAJAMARCA","CHOTA","CHOTA",-6.5631,-78.6508,20,40.897286
60701,"CAJAMARCA","HUALGAYOC","BAMBAMARCA",-6.6786,-78.5242,52,62.844436
60801,"CAJAMARCA","JAEN","JAEN",-5.7106,-78.8117,59,57.998938
60807,"CAJAMARCA","JAEN","POMAHUACA",-5.9322,-79.2289,21,206.0844
60810,"CAJAMARCA","JAEN","SAN FELIPE",-5.7697,-79.3136,18,287.2646
